SNo,Date,Province/State,Country/Region,Time,Confirmed,Deaths,Recovered
53,01/23/2020,Hunan,Mainland China,17:00,13,0,0
54,01/23/2020,Inner Mongolia,Mainland China,17:00,14,0,0
55,01/23/2020,Jiangsu,Mainland China,17:00,80,0,0
56,01/23/2020,Jiangxi,Mainland China,17:00,16,0,0
57,01/23/2020,Jilin,Mainland China,17:00,77,0,0
58,01/23/2020,Liaoning,Mainland China,17:00,66,0,0
59,01/23/2020,Macau,Macau,17:00,63,0,0
60,01/23/2020,Ningxia,Mainland China,17:00,35,0,0
61,01/23/2020,Qinghai,Mainland China,17:00,83,0,0
62,01/23/2020,Shaanxi,Mainland China,17:00,23,0,0
63,01/23/2020,Shandong,Mainland China,17:00,83,0,0
64,01/23/2020,Shanghai,Mainland China,17:00,96,0,0
65,01/23/2020,Shanxi,Mainland China,17:00,6,0,0
66,01/23/2020,Sichuan,Mainland China,17:00,99,0,0
67,01/23/2020,Taiwan,Taiwan,17:00,78,0,0
68,01/23/2020,Tianjin,Mainland China,17:00,87,0,0
69,01/23/2020,Tibet,Mainland China,17:00,61,0,0
70,01/23/2020,Washington,US,17:00,75,0,0
71,01/23/2020,Xinjiang,Mainland China,17:00,99,0,0
72,01/23/2020,Yunnan,Mainland China,17:00,14,0,0
73,01/23/2020,Zhejiang,Mainland China,17:00,97,0,0
74,01/23/2020,,Japan,17:00,82,0,0
75,01/23/2020,,Thailand,17:00,65,0,0
76,01/23/2020,,South Korea,17:00,32,0,0
77,01/23/2020,,Singapore,17:00,18,0,0
78,01/23/2020,,Philippines,17:00,36,0,0
79,01/23/2020,,Malaysia,17:00,39,0,0
80,01/23/2020,,Vietnam,17:00,34,0,0
81,01/23/2020,,Australia,17:00,37,0,0
82,01/23/2020,,Mexico,17:00,52,0,0
83,01/23/2020,,Brazil,17:00,47,0,0
84,01/23/2020,,Colombia,17:00,50,0,0
85,01/24/2020,Hubei,Mainland China,17:00,128,24,31
86,01/24/2020,Guangdong,Mainland China,17:00,100,0,2
87,01/24/2020,Zhejiang,Mainland China,17:00,43,0,1
88,01/24/2020,Beijing,Mainland China,17:00,38,0,1
89,01/24/2020,Chongqing,Mainland China,17:00,78,0,0
90,01/24/2020,Hunan,Mainland China,17:00,17,0,0
91,01/24/2020,Guangxi,Mainland China,17:00,38,0,0
92,01/24/2020,Shanghai,Mainland China,17:00,99,0,1
93,01/24/2020,Jiangxi,Mainland China,17:00,10,0,0
94,01/24/2020,Sichuan,Mainland China,17:00,31,0,0
95,01/24/2020,Shandong,Mainland China,17:00,28,0,0
96,01/24/2020,Anhui,Mainland China,17:00,57,0,0
97,01/24/2020,Fujian,Mainland China,17:00,14,0,0
98,01/24/2020,Henan,Mainland China,17:00,88,0,0
99,01/24/2020,Jiangsu,Mainland China,17:00,28,0,0
100,01/24/2020,Hainan,Mainland China,17:00,98,0,0
101,01/24/2020,Tianjin,Mainland China,17:00,95,0,0
102,01/24/2020,Yunnan,Mainland China,17:00,55,0,0
103,01/24/2020,Shaanxi,Mainland China,17:00,11,0,0
104,01/24/2020,Heilongjiang,Mainland China,17:00,25,1,0
105,01/24/2020,Liaoning,Mainland China,17:00,34,0,0
106,01/24/2020,Guizhou,Mainland China,17:00,68,0,0
107,01/24/2020,Jilin,Mainland China,17:00,24,0,0
108,01/24/2020,Taiwan,Taiwan,17:00,79,0,0
109,01/24/2020,Ningxia,Mainland China,17:00,58,0,0
110,01/24/2020,Hong Kong,Hong Kong,17:00,1,0,0
111,01/24/2020,Macau,Macau,17:00,49,0,0
112,01/24/2020,Hebei,Mainland China,17:00,60,1,0
113,01/24/2020,Gansu,Mainland China,17:00,13,0,0
114,01/24/2020,Xinjiang,Mainland China,17:00,46,0,0
115,01/24/2020,Shanxi,Mainland China,17:00,44,0,0
116,01/24/2020,Inner Mongolia,Mainland China,17:00,48,0,0
117,01/24/2020,Qinghai,Mainland China,17:00,92,0,0
118,01/24/2020,Washington,US,17:00,78,0,0
119,01/24/2020,Chicago,US,17:00,50,0,0
120,01/24/2020,,Japan,17:00,16,0,0
121,01/24/2020,,Thailand,17:00,60,0,0
122,01/24/2020,,South Korea,17:00,49,0,0
123,01/24/2020,,Singapore,17:00,87,0,0
124,01/24/2020,,Vietnam,17:00,11,0,0
125,01/24/2020,,France,17:00,1,0,0
126,01/25/2020,Hubei,Mainland China,17:00,100,40,32
127,01/25/2020,Guangdong,Mainland China,17:00,15,0,2
128,01/25/2020,Zhejiang,Mainland China,17:00,100,0,1
129,01/25/2020,Chongqing,Mainland China,17:00,70,0,0
130,01/25/2020,Hunan,Mainland China,17:00,0,0,0
131,01/25/2020,Beijing,Mainland China,17:00,11,0,2
132,01/25/2020,Anhui,Mainland China,17:00,13,0,0
133,01/25/2020,Shanghai,Mainland China,17:00,62,0,1
134,01/25/2020,Henan,Mainland China,17:00,89,0,0
135,01/25/2020,Sichuan,Mainland China,17:00,64,0,0
136,01/25/2020,Shandong,Mainland China,17:00,34,0,0
137,01/25/2020,Guangxi,Mainland China,17:00,35,0,0
138,01/25/2020,Hainan,Mainland China,17:00,94,0,0
139,01/25/2020,Jiangxi,Mainland China,17:00,16,0,0
140,01/25/2020,Fujian,Mainland China,17:00,24,0,0
141,01/25/2020,Jiangsu,Mainland China,17:00,26,0,1
142,01/25/2020,Liaoning,Mainland China,17:00,19,0,0
143,01/25/2020,Shaanxi,Mainland China,17:00,35,0,0
144,01/25/2020,Yunnan,Mainland China,17:00,61,0,0
145,01/25/2020,Tianjin,Mainland China,17:00,23,0,0
146,01/25/2020,Heilongjiang,Mainland China,17:00,16,1,0
147,01/25/2020,Hebei,Mainland China,17:00,76,1,0
148,01/25/2020,Inner Mongolia,Mainland China,17:00,76,0,0
149,01/25/2020,Shanxi,Mainland China,17:00,52,0,0
150,01/25/2020,Hong Kong,Hong Kong,17:00,19,0,0
151,01/25/2020,Guizhou,Mainland China,17:00,98,0,0
152,01/25/2020,Jilin,Mainland China,17:00,9,0,0
153,01/25/2020,Gansu,Mainland China,17:00,99,0,0
154,01/25/2020,Ningxia,Mainland China,17:00,60,0,0
155,01/25/2020,Taiwan,Taiwan,17:00,92,0,0
156,01/25/2020,Xinjiang,Mainland China,17:00,41,0,0
157,01/25/2020,Macau,Macau,17:00,54,0,0
158,01/25/2020,Qinghai,Mainland China,17:00,31,0,0
159,01/25/2020,Washington,US,17:00,11,0,0
160,01/25/2020,Illinois,US,17:00,96,0,0
161,01/25/2020,,Japan,17:00,1,0,0
162,01/25/2020,,Thailand,17:00,58,0,0
163,01/25/2020,,South Korea,17:00,21,0,0
164,01/25/2020,,Singapore,17:00,9,0,0
165,01/25/2020,,Vietnam,17:00,70,0,0
166,01/25/2020,,France,17:00,19,0,0
167,01/25/2020,,Australia,17:00,77,0,0
168,01/25/2020,,Nepal,17:00,23,0,0
169,01/25/2020,,Malaysia,17:00,87,0,0
170,01/26/2020,Hubei,Mainland China,16:00,114,52,42
171,01/26/2020,Guangdong,Mainland China,16:00,88,0,2
172,01/26/2020,Zhejiang,Mainland China,16:00,52,0,1
173,01/26/2020,Henan,Mainland China,16:00,18,1,0
174,01/26/2020,Chongqing,Mainland China,16:00,62,0,0
175,01/26/2020,Hunan,Mainland China,16:00,37,0,0
176,01/26/2020,Beijing,Mainland China,16:00,28,0,2
177,01/26/2020,Anhui,Mainland China,16:00,44,0,0
178,01/26/2020,Shandong,Mainland China,16:00,23,0,0
179,01/26/2020,Sichuan,Mainland China,16:00,81,0,0
180,01/26/2020,Shanghai,Mainland China,16:00,58,1,1
181,01/26/2020,Guangxi,Mainland China,16:00,69,0,0
182,01/26/2020,Jiangxi,Mainland China,16:00,41,0,0
183,01/26/2020,Fujian,Mainland China,16:00,26,0,0
184,01/26/2020,Jiangsu,Mainland China,16:00,25,0,1
185,01/26/2020,Hainan,Mainland China,16:00,80,0,0
186,01/26/2020,Shaanxi,Mainland China,16:00,40,0,0
187,01/26/2020,Liaoning,Mainland China,16:00,8,0,0
188,01/26/2020,Yunnan,Mainland China,16:00,42,0,0
189,01/26/2020,Heilongjiang,Mainland China,16:00,36,1,0
190,01/26/2020,Tianjin,Mainland China,16:00,80,0,0
191,01/26/2020,Hebei,Mainland China,16:00,66,1,0
192,01/26/2020,Shanxi,Mainland China,16:00,77,0,0
193,01/26/2020,Hong Kong,Hong Kong,16:00,96,0,0
194,01/26/2020,Inner Mongolia,Mainland China,16:00,63,0,0
195,01/26/2020,Gansu,Mainland China,16:00,88,0,0
196,01/26/2020,Guizhou,Mainland China,16:00,14,0,0
197,01/26/2020,Macau,Macau,16:00,40,0,0
198,01/26/2020,Ningxia,Mainland China,16:00,12,0,0
199,01/26/2020,Jilin,Mainland China,16:00,44,0,0
200,01/26/2020,Taiwan,Taiwan,16:00,71,0,0
201,01/26/2020,Xinjiang,Mainland China,16:00,55,0,0
202,01/26/2020,Qinghai,Mainland China,16:00,68,0,0
203,01/26/2020,Washington,US,16:00,67,0,0
204,01/26/2020,Illinois,US,16:00,63,0,0
205,01/26/2020,California,US,16:00,42,0,0
206,01/26/2020,Arizona,US,16:00,7,0,0
207,01/26/2020,,Japan,16:00,99,0,1
208,01/26/2020,,Thailand,16:00,43,0,2
209,01/26/2020,,South Korea,16:00,10,0,0
210,01/26/2020,,Singapore,16:00,84,0,0
211,01/26/2020,,Vietnam,16:00,29,0,0
212,01/26/2020,,France,16:00,71,0,0
213,01/26/2020,,Australia,16:00,28,0,0
214,01/26/2020,,Nepal,16:00,66,0,0
215,01/26/2020,,Malaysia,16:00,16,0,0
216,01/26/2020,Ontario,Canada,16:00,30,0,0
217,01/27/2020,Hubei,Mainland China,23:59,211,76,45
218,01/27/2020,Guangdong,Mainland China,23:59,18,0,4
219,01/27/2020,Zhejiang,Mainland China,23:59,58,0,1
220,01/27/2020,Henan,Mainland China,23:59,8,1,0
221,01/27/2020,Chongqing,Mainland China,23:59,21,0,0
222,01/27/2020,Hunan,Mainland China,23:59,7,0,0
223,01/27/2020,Beijing,Mainland China,23:59,21,1,2
224,01/27/2020,Shandong,Mainland China,23:59,13,0,0
225,01/27/2020,Jiangxi,Mainland China,23:59,35,0,2
226,01/27/2020,Anhui,Mainland China,23:59,95,0,0
227,01/27/2020,Sichuan,Mainland China,23:59,34,0,0
228,01/27/2020,Fujian,Mainland China,23:59,4,0,0
229,01/27/2020,Shanghai,Mainland China,23:59,36,1,3
230,01/27/2020,Jiangsu,Mainland China,23:59,100,0,1
231,01/27/2020,Guangxi,Mainland China,23:59,49,0,0
232,01/27/2020,Shaanxi,Mainland China,23:59,97,0,0
233,01/27/2020,Hainan,Mainland China,23:59,82,1,0
234,01/27/2020,Liaoning,Mainland China,23:59,11,0,0
235,01/27/2020,Yunnan,Mainland China,23:59,24,0,0
236,01/27/2020,Tianjin,Mainland China,23:59,78,0,0
237,01/27/2020,Heilongjiang,Mainland China,23:59,29,1,0
238,01/27/2020,Hebei,Mainland China,23:59,20,1,0
239,01/27/2020,Gansu,Mainland China,23:59,27,0,0
240,01/27/2020,Shanxi,Mainland China,23:59,55,0,0
241,01/27/2020,Inner Mongolia,Mainland China,23:59,4,0,0
242,01/27/2020,Hong Kong,Hong Kong,23:59,48,0,0
243,01/27/2020,Guizhou,Mainland China,23:59,1,0,0
244,01/27/2020,Ningxia,Mainland China,23:59,25,0,0
245,01/27/2020,Jilin,Mainland China,23:59,76,0,0
246,01/27/2020,Macau,Macau,23:59,6,0,0
247,01/27/2020,Qinghai,Mainland China,23:59,26,0,0
248,01/27/2020,Taiwan,Taiwan,23:59,33,0,0
249,01/27/2020,Xinjiang,Mainland China,23:59,72,0,0
250,01/27/2020,Washington,US,23:59,53,0,0
251,01/27/2020,Illinois,US,23:59,75,0,0
252,01/27/2020,California,US,23:59,37,0,0
253,01/27/2020,Arizona,US,23:59,52,0,0
254,01/27/2020,,Japan,23:59,45,0,1
255,01/27/2020,,Thailand,23:59,85,0,2
256,01/27/2020,,South Korea,23:59,16,0,0
257,01/27/2020,,Singapore,23:59,57,0,0
258,01/27/2020,,Vietnam,23:59,95,0,0
259,01/27/2020,,France,23:59,37,0,0
260,01/27/2020,,Nepal,23:59,81,0,0
261,01/27/2020,,Malaysia,23:59,53,0,0
262,01/27/2020,Ontario,Canada,23:59,92,0,0
263,01/27/2020,,Cambodia,23:59,77,0,0
264,01/27/2020,,Sri Lanka,23:59,67,0,0
265,01/27/2020,,Ivory Coast,23:59,67,0,0
266,01/27/2020,New South Wales,Australia,23:59,26,0,0
267,01/27/2020,Victoria,Australia,23:59,7,0,0
268,01/28/2020,Hubei,Mainland China,23:00,272,125,80
269,01/28/2020,Guangdong,Mainland China,23:00,19,0,4
270,01/28/2020,Zhejiang,Mainland China,23:00,70,0,3
271,01/28/2020,Henan,Mainland China,23:00,99,1,0
272,01/28/2020,Hunan,Mainland China,23:00,21,0,0
273,01/28/2020,Chongqing,Mainland China,23:00,89,0,0
274,01/28/2020,Jiangxi,Mainland China,23:00,43,0,3
275,01/28/2020,Anhui,Mainland China,23:00,73,0,0
276,01/28/2020,Shandong,Mainland China,23:00,53,0,0
277,01/28/2020,Beijing,Mainland China,23:00,87,1,4
278,01/28/2020,Sichuan,Mainland China,23:00,86,0,0
279,01/28/2020,Fujian,Mainland China,23:00,35,0,0
280,01/28/2020,Jiangsu,Mainland China,23:00,55,0,1
281,01/28/2020,Shanghai,Mainland China,23:00,64,1,4
282,01/28/2020,Guangxi,Mainland China,23:00,87,0,2
283,01/28/2020,Shaanxi,Mainland China,23:00,11,0,0
284,01/28/2020,Yunnan,Mainland China,23:00,80,0,0
285,01/28/2020,Hainan,Mainland China,23:00,99,1,0
286,01/28/2020,Liaoning,Mainland China,23:00,35,0,0
287,01/28/2020,Hebei,Mainland China,23:00,72,1,0
288,01/28/2020,Heilongjiang,Mainland China,23:00,44,1,0
289,01/28/2020,Shanxi,Mainland China,23:00,52,0,0
290,01/28/2020,Tianjin,Mainland China,23:00,90,0,0
291,01/28/2020,Gansu,Mainland China,23:00,45,0,0
292,01/28/2020,Inner Mongolia,Mainland China,23:00,16,0,0
293,01/28/2020,Ningxia,Mainland China,23:00,94,0,0
294,01/28/2020,Xinjiang,Mainland China,23:00,47,0,0
295,01/28/2020,Guizhou,Mainland China,23:00,55,0,0
296,01/28/2020,Jilin,Mainland China,23:00,82,0,0
297,01/28/2020,Taiwan,Taiwan,23:00,26,0,0
298,01/28/2020,Hong Kong,Hong Kong,23:00,50,0,0
299,01/28/2020,Macau,Macau,23:00,60,0,0
300,01/28/2020,Qinghai,Mainland China,23:00,21,0,0
301,01/28/2020,Washington,US,23:00,54,0,0
302,01/28/2020,Illinois,US,23:00,85,0,0
303,01/28/2020,California,US,23:00,12,0,0
304,01/28/2020,Arizona,US,23:00,90,0,0
305,01/28/2020,,Japan,23:00,53,0,1
306,01/28/2020,,Thailand,23:00,60,0,5
307,01/28/2020,,South Korea,23:00,32,0,0
308,01/28/2020,,Singapore,23:00,21,0,0
309,01/28/2020,,Vietnam,23:00,96,0,0
310,01/28/2020,,France,23:00,88,0,0
311,01/28/2020,,Nepal,23:00,78,0,0
312,01/28/2020,,Malaysia,23:00,1,0,0
313,01/28/2020,Ontario,Canada,23:00,82,0,0
314,01/28/2020,British Columbia,Canada,23:00,22,0,0
315,01/28/2020,,Cambodia,23:00,74,0,0
316,01/28/2020,,Sri Lanka,23:00,40,0,0
317,01/28/2020,New South Wales,Australia,23:00,21,0,0
318,01/28/2020,Victoria,Australia,23:00,30,0,0
319,01/28/2020,Bavaria,Germany,23:00,93,0,0
320,01/29/2020,Hubei,Mainland China,19:30,262,125,88
321,01/29/2020,Zhejiang,Mainland China,19:30,63,0,3
322,01/29/2020,Guangdong,Mainland China,19:30,85,0,5
323,01/29/2020,Hunan,Mainland China,19:30,82,0,0
324,01/29/2020,Henan,Mainland China,19:30,93,2,1
325,01/29/2020,Anhui,Mainland China,19:30,56,0,2
326,01/29/2020,Chongqing,Mainland China,19:30,24,0,1
327,01/29/2020,Shandong,Mainland China,19:30,54,0,1
328,01/29/2020,Beijing,Mainland China,19:30,89,1,4
329,01/29/2020,Jiangxi,Mainland China,19:30,32,0,3
330,01/29/2020,Sichuan,Mainland China,19:30,34,1,1
331,01/29/2020,Jiangsu,Mainland China,19:30,94,0,1
332,01/29/2020,Shanghai,Mainland China,19:30,51,1,5
333,01/29/2020,Fujian,Mainland China,19:30,31,0,0
334,01/29/2020,Guangxi,Mainland China,19:30,6,0,2
335,01/29/2020,Shaanxi,Mainland China,19:30,21,0,0
336,01/29/2020,Yunnan,Mainland China,19:30,64,0,0
337,01/29/2020,Hebei,Mainland China,19:30,35,1,0
338,01/29/2020,Hainan,Mainland China,19:30,36,1,0
339,01/29/2020,Liaoning,Mainland China,19:30,12,0,1
340,01/29/2020,Heilongjiang,Mainland China,19:30,94,1,0
341,01/29/2020,Tianjin,Mainland China,19:30,88,0,0
342,01/29/2020,Shanxi,Mainland China,19:30,60,0,1
343,01/29/2020,Gansu,Mainland China,19:30,71,0,0
344,01/29/2020,Inner Mongolia,Mainland China,19:30,92,0,0
345,01/29/2020,Xinjiang,Mainland China,19:30,33,0,0
346,01/29/2020,Ningxia,Mainland China,19:30,42,0,0
347,01/29/2020,Hong Kong,Hong Kong,19:30,26,0,0
348,01/29/2020,Guizhou,Mainland China,19:30,77,0,1
349,01/29/2020,Jilin,Mainland China,19:30,85,0,0
350,01/29/2020,Taiwan,Taiwan,19:30,57,0,0
351,01/29/2020,Macau,Macau,19:30,62,0,0
352,01/29/2020,Qinghai,Mainland China,19:30,31,0,0
353,01/29/2020,Washington,US,19:30,47,0,0
354,01/29/2020,Illinois,US,19:30,80,0,0
355,01/29/2020,California,US,19:30,96,0,0
356,01/29/2020,Arizona,US,19:30,76,0,0
357,01/29/2020,,Japan,19:30,9,0,1
358,01/29/2020,,Thailand,19:30,26,0,5
359,01/29/2020,,South Korea,19:30,77,0,0
360,01/29/2020,,Singapore,19:30,75,0,0
361,01/29/2020,,Vietnam,19:30,0,0,0
362,01/29/2020,,France,19:30,8,0,0
363,01/29/2020,,Nepal,19:30,74,0,0
364,01/29/2020,,Malaysia,19:30,95,0,0
365,01/29/2020,Ontario,Canada,19:30,76,0,0
366,01/29/2020,British Columbia,Canada,19:30,60,0,0
367,01/29/2020,,Cambodia,19:30,50,0,0
368,01/29/2020,,Sri Lanka,19:30,97,0,0
369,01/29/2020,New South Wales,Australia,19:30,92,0,0
370,01/29/2020,Victoria,Australia,19:30,65,0,0
371,01/29/2020,Bavaria,Germany,19:30,86,0,0
372,01/29/2020,,Finland,19:30,53,0,0
373,01/29/2020,,United Arab Emirates,19:30,33,0,0
374,01/30/2020,Hubei,Mainland China,16:00,272,162,90
375,01/30/2020,Zhejiang,Mainland China,16:00,86,0,4
376,01/30/2020,Guangdong,Mainland China,16:00,109,0,10
377,01/30/2020,Henan,Mainland China,16:00,55,2,2
378,01/30/2020,Hunan,Mainland China,16:00,46,0,2
379,01/30/2020,Anhui,Mainland China,16:00,17,0,2
380,01/30/2020,Chongqing,Mainland China,16:00,7,0,1
381,01/30/2020,Jiangxi,Mainland China,16:00,85,0,5
382,01/30/2020,Shandong,Mainland China,16:00,79,0,1
383,01/30/2020,Sichuan,Mainland China,16:00,14,1,1
384,01/30/2020,Jiangsu,Mainland China,16:00,7,0,1
385,01/30/2020,Beijing,Mainland China,16:00,72,1,4
386,01/30/2020,Shanghai,Mainland China,16:00,105,1,5
387,01/30/2020,Fujian,Mainland China,16:00,19,0,0
388,01/30/2020,Guangxi,Mainland China,16:00,63,0,2
389,01/30/2020,Yunnan,Mainland China,16:00,19,0,0
390,01/30/2020,Hebei,Mainland China,16:00,12,1,0
391,01/30/2020,Shaanxi,Mainland China,16:00,95,0,0
392,01/30/2020,Hainan,Mainland China,16:00,12,1,1
393,01/30/2020,Heilongjiang,Mainland China,16:00,15,2,0
394,01/30/2020,Liaoning,Mainland China,16:00,28,0,1
395,01/30/2020,Shanxi,Mainland China,16:00,48,0,1
396,01/30/2020,Tianjin,Mainland China,16:00,80,0,0
397,01/30/2020,Gansu,Mainland China,16:00,34,0,0
398,01/30/2020,Inner Mongolia,Mainland China,16:00,29,0,0
399,01/30/2020,Ningxia,Mainland China,16:00,40,0,0
400,01/30/2020,Jilin,Mainland China,16:00,68,0,1
401,01/30/2020,Xinjiang,Mainland China,16:00,78,0,0
402,01/30/2020,Guizhou,Mainland China,16:00,80,0,1
403,01/30/2020,Hong Kong,Hong Kong,16:00,75,0,0
404,01/30/2020,Taiwan,Taiwan,16:00,15,0,0
405,01/30/2020,Qinghai,Mainland China,16:00,23,0,0
406,01/30/2020,Macau,Macau,16:00,94,0,0
407,01/30/2020,Tibet,Mainland China,16:00,86,0,0
408,01/30/2020,Washington,US,16:00,21,0,0
409,01/30/2020,Illinois,US,16:00,60,0,0
410,01/30/2020,California,US,16:00,79,0,0
411,01/30/2020,Arizona,US,16:00,46,0,0
412,01/30/2020,,Japan,16:00,79,0,1
413,01/30/2020,,Thailand,16:00,94,0,5
414,01/30/2020,,South Korea,16:00,28,0,0
415,01/30/2020,,Singapore,16:00,21,0,0
416,01/30/2020,,Vietnam,16:00,7,0,0
417,01/30/2020,,France,16:00,73,0,0
418,01/30/2020,,Nepal,16:00,57,0,0
419,01/30/2020,,Malaysia,16:00,94,0,0
420,01/30/2020,Ontario,Canada,16:00,28,0,0
421,01/30/2020,British Columbia,Canada,16:00,7,0,0
422,01/30/2020,,Cambodia,16:00,22,0,0
423,01/30/2020,,Sri Lanka,16:00,23,0,0
424,01/30/2020,New South Wales,Australia,16:00,39,0,2
425,01/30/2020,Victoria,Australia,16:00,54,0,0
426,01/30/2020,Queensland,Australia,16:00,30,0,0
427,01/30/2020,Bavaria,Germany,16:00,16,0,0
428,01/30/2020,,Finland,16:00,31,0,0
429,01/30/2020,,United Arab Emirates,16:00,73,0,0
430,01/30/2020,,Philippines,16:00,76,0,0
431,01/30/2020,,India,16:00,89,0,0
432,01/31/2020,Hubei,Mainland China,23:59,389,204,141
433,01/31/2020,Zhejiang,Mainland China,23:59,77,0,14
434,01/31/2020,Guangdong,Mainland China,23:59,57,0,11
435,01/31/2020,Henan,Mainland China,23:59,44,2,3
436,01/31/2020,Hunan,Mainland China,23:59,60,0,2
437,01/31/2020,Jiangxi,Mainland China,23:59,32,0,7
438,01/31/2020,Anhui,Mainland China,23:59,46,0,3
439,01/31/2020,Chongqing,Mainland China,23:59,63,0,1
440,01/31/2020,Shandong,Mainland China,23:59,31,0,2
441,01/31/2020,Sichuan,Mainland China,23:59,51,1,1
442,01/31/2020,Jiangsu,Mainland China,23:59,29,0,5
443,01/31/2020,Beijing,Mainland China,23:59,21,1,5
444,01/31/2020,Shanghai,Mainland China,23:59,74,1,9
445,01/31/2020,Fujian,Mainland China,23:59,57,0,0
446,01/31/2020,Guangxi,Mainland China,23:59,15,0,2
447,01/31/2020,Shaanxi,Mainland China,23:59,64,0,0
448,01/31/2020,Yunnan,Mainland China,23:59,96,0,1
449,01/31/2020,Hebei,Mainland China,23:59,67,1,0
450,01/31/2020,Heilongjiang,Mainland China,23:59,90,2,0
451,01/31/2020,Hainan,Mainland China,23:59,27,1,1
452,01/31/2020,Liaoning,Mainland China,23:59,30,0,1
453,01/31/2020,Shanxi,Mainland China,23:59,83,0,1
454,01/31/2020,Tianjin,Mainland China,23:59,31,0,0
455,01/31/2020,Guizhou,Mainland China,23:59,97,0,2
456,01/31/2020,Gansu,Mainland China,23:59,91,0,0
457,01/31/2020,Ningxia,Mainland China,23:59,66,0,0
458,01/31/2020,Inner Mongolia,Mainland China,23:59,11,0,1
459,01/31/2020,Xinjiang,Mainland China,23:59,87,0,0
460,01/31/2020,Jilin,Mainland China,23:59,63,0,1
461,01/31/2020,Hong Kong,Hong Kong,23:59,10,0,0
462,01/31/2020,Taiwan,Taiwan,23:59,95,0,0
463,01/31/2020,Qinghai,Mainland China,23:59,44,0,0
464,01/31/2020,Macau,Macau,23:59,33,0,0
465,01/31/2020,Tibet,Mainland China,23:59,12,0,0
466,01/31/2020,,Thailand,23:59,23,0,5
467,01/31/2020,,Japan,23:59,98,0,1
468,01/31/2020,,Singapore,23:59,91,0,0
469,01/31/2020,,South Korea,23:59,59,0,0
470,01/31/2020,,Malaysia,23:59,31,0,0
471,01/31/2020,,France,23:59,96,0,0
472,01/31/2020,Bavaria,Germany,23:59,74,0,0
473,01/31/2020,New South Wales,Australia,23:59,30,0,2
474,01/31/2020,,United Arab Emirates,23:59,51,0,0
475,01/31/2020,Victoria,Australia,23:59,97,0,0
